item_id,pool,source_sme,change_type,fact_idx,action,original_text,new_text,sme_note,gpt_rationale,override_reason
R500_0440,dnv_full_500,SME-3,fact_repair,3,replaced,"The condition is triggered here because the plate flange yield strength (355 N/mm²) is lower than the connected PSM yield strength (460 N/mm²), so the arrangement is not acceptable without the additional check.","The condition is not triggered here because the yield-strength difference between the plate flange (355 N/mm²) and the connected PSM (460 N/mm²) is about 29.6%, which is below the 35% threshold for an automatic additional check.","The yield-strength difference between 355 and 460 MPa is about 29.6%, below the 35% threshold, so an automatic additional check is not triggered on this basis.","It changes the comparison from triggering to not triggering because 355 vs 460 is only about 29.6% different, below the 35% threshold.",
R500_0464,dnv_full_500,SME-3,fact_repair,0,replaced,"An additional yield capacity check of the plate flange is required because the plate flange (NV A36, 355 N/mm²) has a lower minimum yield strength than the connected stiffeners (NV A40, 390 N/mm²)","The plate flange (NV A36, 355 N/mm²) has about 9.9% lower minimum yield strength than the connected stiffeners (NV A40, 390 N/mm²), which is below the 35% threshold","The yield-strength difference between 355 and 390 MPa is about 9.9%, below the 35% threshold; the additional yield-capacity check is not required on this basis.",Replaced the defective implication about a required check with the corrected yield-strength comparison and threshold result from the SME note.,
F500_0137,dnv_full_500,SME-3-stageA,fact_repair,2,replaced,"The permissible harbour/sheltered water sagging bending moment criterion is Msw-p ≤ fhar × Mwv + Msw, with fhar = 0.5","The permissible harbour/sheltered water sagging bending moment criterion is M_sw-p ≤ f_har-M × M_wv + M_sw, with f_har-M = 0.9 per Pt5.Ch2.Sec3 [2.3.1] (in lieu of the Pt3.Ch5.Sec2 default f_har = 0.5 for non-container ships)",Pt3.Ch5.Sec2 defines f_har = 0.5 unless otherwise defined in Pt.5; Pt5.Ch2.Sec3 [2.3.1] does otherwise define the container-ship harbour-bending correction as f_har-M = 0.9.,Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
F500_0137,dnv_full_500,SME-3-stageA,fact_repair,3,replaced,"The permissible harbour sagging bending moment evaluates to 0.5 × 4,200,000 + 7,500,000 = 9,600,000 kNm","The permissible harbour sagging bending moment evaluates to 0.9 × 4,200,000 + 7,500,000 = 11,280,000 kNm","With container-ship f_har-M = 0.9: 0.9 * 4,200,000 + 7,500,000 = 11,280,000 kNm.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
F500_0137,dnv_full_500,SME-3-stageA,fact_repair,4,replaced,"The applied harbour sagging moment of 9,800,000 kNm exceeds the permissible value of 9,600,000 kNm","The applied harbour sagging moment of 9,800,000 kNm does not exceed the permissible value of 11,280,000 kNm","Permissible 11,280,000 kNm, applied 9,800,000 kNm, so applied does not exceed permissible.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
F500_0137,dnv_full_500,SME-3-stageA,fact_repair,5,replaced,The harbour loading condition is not compliant,The harbour loading condition is compliant,Compliance reverses: condition is compliant under the Pt5 container-ship correction.,Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0015,dnv_full_500,SME-3-stageA,fact_repair,5,replaced,"GM default = 0.07 × 32 = 2.24 m (general default, since GM not calculated)","GM = 0.25 × B = 0.25 × 32 = 8.0 m, taken from Pt5.Ch1.Sec2 [5.1.2] Table 4 for the bulk-carrier homogeneous-heavy-cargo, partially filled, full-load condition (Pt5 overrides the Pt3.Ch4.Sec3 generic default GM = 0.07 × B for ships with class notation Bulk carrier or Ore carrier)","Pt5.Ch1.Sec2 [5.1.2] sends bulk carriers to Table 4 for GM and k_r in lieu of Pt3 generic defaults; for homogeneous heavy cargo, partially filled, full-load condition Table 4 gives GM = 0.25 × B = 8.0 m.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0015,dnv_full_500,SME-3-stageA,fact_repair,6,replaced,Roll angle θ ≈ 18.1–18.2 degrees,Roll angle θ must be re-derived using the bulk-carrier-specific k_r = 0.42 × B = 13.44 m (Pt5.Ch1.Sec2 [5.1.2] Table 4) together with GM = 8.0 m and the Pt3.Ch4.Sec3 roll-angle formula; the generic-default-based value of ≈18° derived from k_r = 0.39B / GM = 0.07B is not applicable for a bulk carrier,"With the bulk-carrier-specific k_r = 0.42 × B = 13.44 m and GM = 8.0 m, the roll angle from the Pt3.Ch4.Sec3 formula is materially smaller than the value derived from generic defaults; the question's quantitative roll-angle value must be re-derived rather than left at the generic-default ≈18°.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0028,dnv_full_500,SME-3-stageA,fact_repair,1,replaced,A deviation of 0.8% is within the ±1% limit and does not by itself prevent certificate issuance,"For onboard certification per [9.6.2], any numerical difference between the installed system output and the approved test conditions prevents certificate issuance, so a 0.8% deviation is by itself a basis for refusal even though it satisfies the ±1% software-approval criterion in [9.5.8]","[9.6.2] says: ""If numerical output from the lashing computer system is different with the approved test conditions, a certificate cannot be issued."" The ±1% criterion in [9.5.8] applies only to software approval against independent calculations, not to onboard certification.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0128,dnv_full_500,SME-3-stageA,fact_repair,1,replaced,The correct net design pressure for outer shell plating adjacent to a ballast tank under load set TK-1/WB-1 is P_ls-1 + P_ld − P_S,"The correct net design pressure for outer shell plating adjacent to a ballast tank under load set TK-1/WB-1 is P_ls-1 + P_ld - (P_S + P_W), per Pt3.Ch6.Sec2 Table 1 (the ""- P_S"" form in Table 2 is for primary supporting members, not plating)","Table 1 gives WB-1 and TK-1 for plating as ""P_ls-1 + P_ld - (P_S + P_W)"" at T_BAL with AC-II; Table 2's ""- P_S"" expression is for primary supporting members, not plating.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0210,dnv_full_500,SME-3-stageA,fact_repair,0,replaced,"The equivalent panel width b_eq is approximately 692 mm, computed using b_eq = ℓ1 + ℓ2 × (t1/t2)^1.5 with t1 = 16 mm, ℓ1 = 420 mm, t2 = 20 mm, ℓ2 = 380 mm","For a varying-thickness panel under FE-based / direct-strength buckling assessment, Pt3.Ch8.Sec4 [2.1.2] requires the average net thickness t_avr = Σ A_i t_i / Σ A_i across the panel; with t1 = 16 mm, ℓ_1 = 420 mm and t2 = 20 mm, ℓ_2 = 380 mm: t_avr = (420×16 + 380×20) / (420+380) ≈ 17.9 mm (the equivalent-width formula b_eq = ℓ_1 + ℓ_2(t1/t2)^1.5 belongs to Pt3.Ch8.Sec3 [1.2.1] hull-girder buckling and does not apply here)","Pt3.Ch8.Sec4 [2.1.2] requires average thickness t_avr = ΣA_i t_i / ΣA_i for non-constant-thickness panels. With t1=16, w1=420, t2=20, w2=380: t_avr = (420×16 + 380×20) / (420+380) = (6720+7600)/800 = 17.9 mm. The equivalent-width formula belongs to Pt3.Ch8.Sec3 [1.2.1], the hull-girder buckling subsection, not the direct-strength buckling rules.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0210,dnv_full_500,SME-3-stageA,fact_repair,4,replaced,The buckling check for the varying-thickness panel shall be performed using the smaller plate thickness t1 = 16 mm combined with the equivalent width b_eq,"The buckling check for the varying-thickness panel shall be performed using the average net thickness t_avr ≈ 17.9 mm across the full panel width per Pt3.Ch8.Sec4 [2.1.2], not the smaller plate thickness t1 = 16 mm combined with an equivalent width","Buckling check for varying-thickness panel under direct-strength assessment uses t_avr = 17.9 mm across the full panel width, not t1 = 16 mm with an equivalent width.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0277,dnv_full_500,SME-3-stageA,fact_repair,5,replaced,The minimum required gross section modulus at deck from the vertical bending strength check is 24.0 m³,"The minimum required gross section modulus at deck from the vertical bending strength check is Z_D-gr,min = |M_sw + M_wv| / σ_perm × 10^-3 = (4,200,000 + 2,800,000) / 175 × 10^-3 = 40.0 m³ (Pt3.Ch5.Sec2 [1.4.1])","Pt3.Ch5.Sec2 [1.4.1] gives Z_gr = |M_sw + M_wv| / σ_perm × 10^-3. With M_sw = 4,200,000 + M_wv = 2,800,000 kNm and σ_perm = 175 N/mm²: Z_gr = 7,000,000 / 175 × 10^-3 = 40.0 m³.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0277,dnv_full_500,SME-3-stageA,fact_repair,6,replaced,The provided Z_D-gr = 24.8 m³ exceeds the minimum of 24.0 m³ and is therefore compliant,The provided Z_D-gr = 24.8 m³ is below the minimum of 40.0 m³ and therefore does not satisfy the vertical bending strength section-modulus requirement,"Provided Z_D-gr = 24.8 m³ is below the 40.0 m³ minimum, so the section modulus criterion at deck is not satisfied.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0295,dnv_full_500,SME-3-stageA,fact_repair,1,replaced,"For longitudinal stiffened plating under AC-II, the coefficients are βa = 1.10, αa = 0.50, Ca-max = 1.00","For longitudinal stiffened plating under AC-II per Sec.4 Table 1, the coefficients are β_a = 1.05, α_a = 0.50, C_a-max = 0.95","Table 1 row for Longitudinal stiffened plating under AC-II gives β_a = 1.05, α_a = 0.50, C_a-max = 0.95 — not 1.10/0.50/1.00.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0295,dnv_full_500,SME-3-stageA,fact_repair,2,replaced,"Ca = 1.10 − 0.50 × (110/315) ≈ 0.925, which is below Ca-max = 1.00 so no cap is applied","C_a = 1.05 - 0.50 × (110/315) ≈ 0.875, which is below C_a-max = 0.95 so no cap is applied","C_a = β_a - α_a × σ_hg / R_eH = 1.05 - 0.50 × (110/315) ≈ 0.875, below the 0.95 cap so no cap is applied.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0295,dnv_full_500,SME-3-stageA,fact_repair,4,replaced,Minimum net plate thickness t ≈ 9.1 mm (acceptable range 9.0–9.2 mm),Minimum net plate thickness t ≈ 9.4 mm (acceptable range 9.3-9.5 mm),"t = 0.0158 × α_p × b × sqrt(P / (C_a × R_eH)) with α_p = 1.0, b = 820, P = 145, C_a = 0.875, R_eH = 315 gives t ≈ 9.4 mm.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
F500_0040,dnv_full_500,SME-3-stageA,fact_repair,1,replaced,The applicable slenderness coefficients for a T-bar PSM web are C_w = 75 and for the flange C_f = 12,"The applicable PSM slenderness coefficients per Pt3.Ch8.Sec2 [4.1.1] are C_w = 100 (single-skin) or 125 (double-skin) for the web plate; the flange coefficient C_f is taken from Table 2, which gives C_f = 12 for T-bars","Sec.2 [4.1.1] gives PSM web-plate coefficient C_w = 125 for double-skin construction and C_w = 100 elsewhere; the T-bar value C_w = 75 is the stiffener rule from [3.1.1], not the PSM rule.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
F500_0040,dnv_full_500,SME-3-stageA,fact_repair,2,replaced,Web plate minimum thickness requirement: t_w ≥ h_w / C_w × sqrt(R_eH/235) = 320/75 = 4.27 mm; actual 8 mm complies,PSM web-plate minimum thickness requirement: t_w ≥ s_w / C_w × sqrt(R_eH / 235) per Pt3.Ch8.Sec2 [4.1.1] with s_w = web-stiffener spacing and C_w = 100 (single-skin); the requirement cannot be evaluated against h_w / 75 (which is the stiffener rule from [3.1.1]),"PSM web-thickness requirement per Sec.2 [4.1.1] is t_w ≥ s_w/C_w × sqrt(R_eH/235) using web-stiffener spacing s_w; the h_w/75 form applies the stiffener rule, not the PSM rule.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
F500_0141,dnv_full_500,SME-3-stageA,fact_repair,3,replaced,The minimum required section modulus at mid-span Z ≈ 630 cm³ (calculated as 1000 × 85 × 3.6 × 3.30² / (24.0 × 0.70 × 315)),The Pt3.Ch6.Sec6 [2.1.1] prescriptive section-modulus formula does not apply to this member because Pt3.Ch6.Sec6 [1.1.2] excludes double-skin primary supporting members and Pt3.Ch3.Sec7 [1.3.2] identifies double-bottom floors / web frames as double-skin sections; the section modulus must instead be assessed by direct strength / FE analysis per Ch.6 Sec.6 [1.1.2],[1.1.2] excludes double-skin PSMs; the 630 cm³ figure is computed from a formula that does not apply to a double-bottom floor/web frame.,Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
F500_0141,dnv_full_500,SME-3-stageA,fact_repair,4,replaced,"At support positions (within 0.2 × ℓ_bdg = 0.66 m from each end), f_bdg = 12.0 applies, giving a higher section modulus requirement of approximately 1259 cm³",The same exclusion in Pt3.Ch6.Sec6 [1.1.2] applies at the support positions: the f_bdg = 12.0 support-region branch of the [2.1.1] formula does not apply to a double-skin double-bottom PSM; no support-region [2.1.1] requirement can be claimed,Same exclusion: support-position result of 1259 cm³ is also not applicable.,Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
F500_0141,dnv_full_500,SME-3-stageA,fact_repair,6,replaced,The [2.1.1] section modulus formula is applicable here because the member is a transverse PSM (not double skin) and hull girder longitudinal stress is below 0.15 R_eH,"The [2.1.1] section modulus formula is not applicable here because Pt3.Ch6.Sec6 [1.1.2] excludes double-skin PSMs and Pt3.Ch3.Sec7 [1.3.2] classifies double-bottom floors / web frames as double-skin sections, even though the hull-girder longitudinal stress is below 0.15 R_eH","[1.1.2] explicitly excludes double-skin PSMs from [2.1.1]; Pt3.Ch3.Sec7 [1.3.2] classifies double-bottom floors/web frames as double-skin. The fact's premise (""not double skin"") is contradicted by source.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0036,dnv_full_500,SME-3-stageA,fact_repair,2,replaced,C_YR for BSR-1P fatigue = −1 (independent of f_T),"C_YR for BSR-1P fatigue = 1 (independent of f_T), per Pt3.Ch4.Sec2 Table 11 row a_roll-y | C_YR; the value -1 belongs to the separate C_YG (gravity component) row, not C_YR","Table 11, row ""a_roll-y | C_YR"", BSR-1P column gives ""1""; the ""-1"" in the fact comes from the separate ""g sinθ | C_YG"" row (a different acceleration component).",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0022,dnv_full_500,annotatorA,fact_repair,3,replaced,"λ_f = 0.944 does not exceed λ_fperm = 1.0, so the detail complies with the acceptance criteria","λ_f = 0.944 does not exceed the AC-I permitted value λ_fperm = 1.36f_f or 1.2f_f, depending on weld adjacency, so the detail complies with the acceptance criteria","λ_f=0.944 is compliant, but λ_fperm=1.0 is not the AC-I table value; AC-I gives 1.36ff / 1.2ff depending on weld adjacency, with ff=1.0 generally.",This replaces the incorrect fixed permitted value of 1.0 with the AC-I table values cited by the SME while preserving the original compliance conclusion.,
R500_0033,dnv_full_500,annotatorA,fact_repair,0,replaced,"The stiffener web is an internal member within the ballast water tank, giving t_c = 2*1.0 + 0.5 = 2.5 mm before capping","The stiffener web uses the boundary-member branch based on its connection to attached plating, giving t_c = 1.0 + 1.0 + 0.5 = 2.5 mm before capping","stiffener corrosion addition is determined by its connection to attached plating; use boundary tc = tc1+tc2+tres, not the internal-member 2tc1+tres branch.",Changed the corrosion-addition branch from the internal-member formula to the boundary formula tied to attached plating.,
R500_0033,dnv_full_500,annotatorA,fact_repair,2,replaced,"Per the multi-value rule, the largest value (2.5 mm) governs for the web","Per the stiffener-connection rule, the boundary value, not the 2.5 mm internal-member value, governs for the web",the 'largest value' rule does not make the 2.5 mm internal-member branch govern after the stiffener-connection rule selects the boundary value.,Changed the governing basis to the stiffener-connection rule because it selects the boundary branch rather than the 2.5 mm internal-member branch.,
R500_0033,dnv_full_500,annotatorA,fact_repair,4,replaced,"Since 2.5 mm exceeds 2.4 mm, the total corrosion addition is capped at t_c = 2.4 mm","Since 2.0 mm is below 2.4 mm, the total corrosion addition remains t_c = 2.0 mm","applicable tc is 2.0 mm, below the 2.4 mm cap, so it is not capped to 2.4 mm.",Changed the applicable corrosion addition to 2.0 mm and removed the incorrect 2.4 mm cap because the value does not exceed the cap.,
R500_0058,dnv_full_500,annotatorA,fact_repair,5,replaced,The minimum net thickness tmCG of the centre girder is approximately 14.4 mm (after applying the ftCG factor),The minimum net thickness tmCG of the centre girder is approximately 9.5 mm,"tmCG is given directly by h/haCG·(h/120+1.3)·sqrt(k); with h=1358 and haCG=1800 it is about 9.5 mm, not 14.4 mm from applying ftCG.","Changed the value from 14.4 mm to about 9.5 mm because tmCG is calculated directly from the tmCG formula, not by applying the ftCG factor.",
R500_0077,dnv_full_500,annotatorA,fact_repair,1,replaced,"For transversely orientated full penetration plate butt welds, the required NDT is 20% UT only (RT/UT column); MT/PT is not required (shown as '--')","For transversely orientated full penetration plate butt welds, the required NDT is 20% UT (RT/UT column) and 20% MT/PT; it is not UT only.",Table 1 supports both MT/PT 20 for transverse/vertical weld joints including full penetration butt joints and UT 20 for transverse/vertical full penetration plate butt welds; not UT-only.,Changed the fact from UT-only to both 20% UT and 20% MT/PT because Table 1 shows MT/PT 20 also applies to transverse/vertical full penetration butt joints.,
R500_0077,dnv_full_500,annotatorA,fact_repair,4,replaced,The plan's 20% MT on transversely orientated full penetration butt welds is not required by Table 1 and is therefore non-compliant with the minimum (excess is not prohibited but the plan misidentifies the method),The plan's 20% MT on transversely orientated full penetration butt welds is required by the MT/PT 20 row in Table 1.,the plan's 20% MT on transverse full penetration butt welds is required by the MT/PT 20 row; it is not an unnecessary/non-compliant method.,Changed the fact from stating the 20% MT was unnecessary/non-compliant to stating that Table 1 requires it.,
R500_0077,dnv_full_500,annotatorA,fact_repair,6,replaced_ambiguous,"NV 47 steel is ferromagnetic, so footnote 1 mandates MT (not PT) where magnetic particle testing is specified",Footnote 1 mandates MT (not PT) for ferromagnetic materials where magnetic particle testing is specified,"the footnote says only MT for ferromagnetic materials, but the provided DNV excerpt does not expressly state NV 47 steel is ferromagnetic.",Removed the unsupported claim that NV 47 steel is ferromagnetic and kept only the footnote’s stated rule.,
R500_0148,dnv_full_500,annotatorA,fact_repair,2,replaced,Table 1 requires a minimum of 5 watertight transverse bulkheads for this length range,Table 1 requires a minimum of 4 watertight transverse bulkheads for this length range with an aft engine room arrangement,"Table 1 has separate branches for 85<L≤105: aft engine room gives 4, elsewhere gives 5; the conventional aft-engine-room arrangement does not support an unconditional value of 5.",Changed the unconditional value from 5 to the aft-engine-room value of 4 because Table 1 splits this length range by engine-room location.,
R500_0148,dnv_full_500,annotatorA,fact_repair,3,replaced,The proposed arrangement of 4 bulkheads does not meet the minimum requirement,"On the aft-engine-room branch, the proposed arrangement of 4 transverse watertight bulkheads meets the minimum requirement","on the aft-engine-room branch, the proposed four transverse watertight bulkheads meet the minimum requirement.",Changed the applicability to the aft-engine-room branch and reversed the compliance outcome per the SME note.,
R500_0148,dnv_full_500,annotatorA,fact_repair,4,replaced,The arrangement is non-compliant and at least one additional watertight transverse bulkhead must be provided,The watertight transverse bulkhead arrangement is non-compliant.,the conclusion that one additional bulkhead is required follows from the wrong table branch.,Removed the unsupported claim that one additional bulkhead is required because it was derived from the wrong table branch.,
R500_0177,dnv_full_500,annotatorA,fact_repair,3,replaced,C_YR for BSR-1P (fatigue) = −1,C_YR for BSR-1P (fatigue) = 1,Table 11 gives CYR = 1 for BSR-1P; -1 applies to a different BSR column.,Changed the value from -1 to 1 because Table 11 assigns C_YR = 1 to the BSR-1P column.,
F500_0025,dnv_full_500,annotatorA,fact_repair,0,replaced,"The NV 47 coaming plate at 72 mm thickness triggers the additional requirements of Sec10 [1.1.2], which mandates application of the fatigue requirements in Sec7.",The NV 47 coaming plate at 72 mm thickness triggers the additional requirements of Sec10 [3] under Sec10 [1.1.2].,Sec10 [1.1.2] triggers Sec10 subsection [3] additional requirements; it does not mandate Sec7 fatigue requirements.,Replaced the incorrect reference to Sec7 fatigue requirements with the correct trigger to the additional requirements in Sec10 [3].,
F500_0025,dnv_full_500,annotatorA,fact_repair,4,replaced,The loading conditions used in the fatigue assessment shall be in accordance with the loads section of the same chapter (Sec3 [5]).,The loading conditions used in the fatigue assessment shall be in accordance with Pt3 Ch9.,the cited Sec3 [5] loading-condition reference is not supported; Sec7 points fatigue loading assumptions/conditions to Pt3 Ch9.,"Replaced the unsupported Sec3 [5] cross-reference with Pt3 Ch9, which Sec7 points to for fatigue loading conditions.",
F500_0041,dnv_full_500,annotatorA,fact_repair,2,replaced,Structural verification of the sloshing pressure must follow the plating and stiffener scantling method referenced in the bow impact section of the same chapter (Sec1 [3.1]),Structural verification of the sloshing pressure must follow the plating and stiffener scantling method referenced in the sloshing scantling section of the same chapter (Sec4 [3.1]),"Sec4 [1.1.3] refers to Sec4 [3.1] for sloshing scantling requirements, not the bow-impact Sec1 [3.1].",The cited cross-reference was corrected from the bow-impact provision in Sec1 [3.1] to the sloshing scantling provision in Sec4 [3.1] as specified by Sec4 [1.1.3].,
F500_0055,dnv_full_500,annotatorA,fact_repair,3,replaced,"For the distributed longitudinal stress case, the plate thickness for the buckling check is based on the equivalent plate panel concept using the smaller thickness (12.0 mm) where thickness varies across the panel","For the distributed longitudinal stress case, the plate thickness for the buckling check is based on the average thickness where thickness varies across the panel","for non-constant panel thickness, Sec4 [2.1.2] uses average thickness; the 12.0 mm smaller-thickness equivalent-panel rule is not the applicable branch here.",Changed the non-constant-thickness rule from the smaller 12.0 mm equivalent-panel thickness to the average thickness specified in Sec4 [2.1.2].,
F500_0072,dnv_full_500,annotatorA,fact_repair,1,replaced,The minimum net web thickness from the PSM slenderness requirement is 8.0 mm (h_w/C_w × sqrt(R_eH/235) = 600/75 × 1.0),"The minimum net web thickness from the PSM slenderness requirement is determined by s_w/C_w × sqrt(R_eH/235), with C_w = 100 elsewhere or 125 for double skin construction.","PSM web slenderness uses sw/Cw with Cw=100 or 125, not hw/75; Cw=75 is for angle/T-bar stiffeners, not this PSM web plate.",Replaced the incorrect h_w/75 angle/T-bar formulation with the PSM web-plate slenderness rule using s_w and the correct C_w values.,
